"key","zh-Hant","en","ja","ko","ru","vi","zh-Hans"
"連江","連江","Lienchiang","連江","롄장","連江","連江","连江"
"宜蘭","宜蘭","Yilan","宜蘭","이란","宜蘭","宜蘭","宜兰"
"彰化","彰化","Changhua","彰化","장화","彰化","彰化","彰化"
"南投","南投","Nantou","南投","난터우","南投","南投","南投"
"雲林","雲林","Yunlin","雲林","윈린","雲林","雲林","云林"
"屏東","屏東","Pingdong","屏東","핑둥","屏東","屏東","屏东"
"基隆","基隆","Keelung","基隆","지룽","基隆","基隆","基隆"
"臺北","臺北","Taipei","台北","타이베이","臺北","臺北","台北"
"新北","新北","New Taipei","新北","신베이","新北","新北","新北"
"臺南","臺南","Tainan","台南","타이난","臺南","臺南","台南"
"桃園","桃園","Taoyuan","桃園","타오위안","桃園","桃園","桃园"
"嘉義","嘉義","Chiayi","嘉義","자이","嘉義","嘉義","嘉义"
"金門","金門","Kinmen","金門","진먼","金門","金門","金门"
"高雄","高雄","Kaohsiung","高雄","가오슝","高雄","高雄","高雄"
"臺東","臺東","Taitung","台東","타이둥","臺東","臺東","台东"
"花蓮","花蓮","Hualien","花蓮","화롄","花蓮","花蓮","花莲"
"澎湖","澎湖","Penghu","澎湖","펑후","澎湖","澎湖","澎湖"
"新竹","新竹","Hsinchu","新竹","신주","新竹","新竹","新竹"
"臺中","臺中","Taichung","台中","타이중","臺中","臺中","台中"
"苗栗","苗栗","Miaoli","苗栗","먀오리","苗栗","苗栗","苗栗"
"成功","成功","Chenggong","成功","成功","成功","成功","成功"
"佳冬","佳冬","Jiadong","佳冬","佳冬","佳冬","佳冬","佳冬"
"麥寮","麥寮","Mailiao","麦寮","麥寮","麥寮","麥寮","麦寮"
"綠島","綠島","Ludao","緑島","綠島","綠島","綠島","绿岛"
"蘭嶼","蘭嶼","Lanyu","蘭嶼","蘭嶼","蘭嶼","蘭嶼","兰屿"
"田中","田中","Tianzhong","田中","田中","田中","田中","田中"
"社頭","社頭","Shetou","社頭","社頭","社頭","社頭","社头"
"竹田","竹田","Zhutian","竹田","竹田","竹田","竹田","竹田"
"萬丹","萬丹","Wandan","万丹","萬丹","萬丹","萬丹","万丹"
"三灣","三灣","Sanwan","三湾","三灣","三灣","三灣","三湾"
"峨眉","峨眉","Emei","峨眉","峨眉","峨眉","峨眉","峨眉"
"南庄","南庄","Nanzhuang","南庄","南庄","南庄","南庄","南庄"
"太保","太保","Taibao","太保","太保","太保","太保","太保"
"中埔","中埔","Zhongpu","中埔","中埔","中埔","中埔","中埔"
"番路","番路","Fanlu","番路","番路","番路","番路","番路"
"水上","水上","Shuishang","水上","水上","水上","水上","水上"
"員林","員林","Yuanlin","員林","員林","員林","員林","员林"
"小港","小港","Xiaogang","小港","小港","小港","小港","小港"
"蘇澳","蘇澳","Suao","蘇澳","蘇澳","蘇澳","蘇澳","苏澳"
"五結","五結","Wujie","五結","五結","五結","五結","五结"
"壯圍","壯圍","Jhuangwei","壮囲","壯圍","壯圍","壯圍","壮围"
"南竿","南竿","Nangan","南竿","南竿","南竿","南竿","南竿"
"莒光","莒光","Juguang","莒光","莒光","莒光","莒光","莒光"
"烏坵","烏坵","Wuqiu","烏坵","烏坵","烏坵","烏坵","乌坵"
"羅東","羅東","Luodong","羅東","羅東","羅東","羅東","罗东"
"員山","員山","Yuanshan","員山","員山","員山","員山","员山"
"冬山","冬山","Dongshan","冬山","冬山","冬山","冬山","冬山"
"三星","三星","Sanxing","三星","三星","三星","三星","三星"
"大同","大同","Datong","大同","大同","大同","大同","大同"
"竹東","竹東","Zhudong","竹東","竹東","竹東","竹東","竹东"
"新埔","新埔","Sinpu","新埔","新埔","新埔","新埔","新埔"
"關西","關西","Guanxi","関西","關西","關西","關西","关西"
"湖口","湖口","Hukou","湖口","湖口","湖口","湖口","湖口"
"芎林","芎林","Qionglin","芎林","芎林","芎林","芎林","芎林"
"橫山","橫山","Hengshan","横山","橫山","橫山","橫山","横山"
"北埔","北埔","Beipu","北埔","北埔","北埔","北埔","北埔"
"五峰","五峰","Wufeng","五峰","五峰","五峰","五峰","五峰"
"龍井","龍井","Longjing","龍井","룽징","龍井","龍井","龙井"
"大雅","大雅","Daya","大雅","다야","大雅","大雅","大雅"
"沙鹿","沙鹿","Shalu","沙鹿","사루","沙鹿","沙鹿","沙鹿"
"梧棲","梧棲","Wuqi","梧棲","우치","梧棲","梧棲","梧栖"
"湖西","湖西","Husi","湖西","湖西","湖西","湖西","湖西"
"金峰","金峰","Jinfeng","金峰","金峰","金峰","金峰","金峰"
"太麻里","太麻里","Taimali","太麻里","太麻里","太麻里","太麻里","太麻里"
"卓蘭","卓蘭","Zhuolan","卓蘭","卓蘭","卓蘭","卓蘭","卓兰"
"大湖","大湖","Dahu","大湖","大湖","大湖","大湖","大湖"
"公館","公館","Gongguan","公館","公館","公館","公館","公馆"
"銅鑼","銅鑼","Tongluo","銅鑼","銅鑼","銅鑼","銅鑼","铜锣"
"頭屋","頭屋","Touwu","頭屋","頭屋","頭屋","頭屋","头屋"
"三義","三義","Sanyi","三義","三義","三義","三義","三义"
"西湖","西湖","Xihu","西湖","西湖","西湖","西湖","西湖"
"造橋","造橋","Zaoqiao","造橋","造橋","造橋","造橋","造桥"
"獅潭","獅潭","Shitan","獅潭","獅潭","獅潭","獅潭","狮潭"
"和美","和美","Hemei","和美","和美","和美","和美","和美"
"線西","線西","Xianxi","線西","線西","線西","線西","线西"
"伸港","伸港","Shenggang","伸港","伸港","伸港","伸港","伸港"
"秀水","秀水","Xiushui","秀水","秀水","秀水","秀水","秀水"
"花壇","花壇","Huatan","花壇","花壇","花壇","花壇","花坛"
"芬園","芬園","Fenyuan","芬園","芬園","芬園","芬園","芬园"
"溪湖","溪湖","Xihu","渓湖","溪湖","溪湖","溪湖","溪湖"
"東石","東石","Dongshi","東石","東石","東石","東石","东石"
"大村","大村","Dacun","大村","大村","大村","大村","大村"
"埔鹽","埔鹽","Puyan","埔塩","埔鹽","埔鹽","埔鹽","埔盐"
"埔心","埔心","Puxin","埔心","埔心","埔心","埔心","埔心"
"永靖","永靖","Yongjing ","永靖","永靖","永靖","永靖","永靖"
"二水","二水","Ershui","二水","二水","二水","二水","二水"
"二林","二林","Erlin","二林","二林","二林","二林","二林"
"埤頭","埤頭","Pitou","埤頭","埤頭","埤頭","埤頭","埤头"
"芳苑","芳苑","Fangyuan","芳苑","芳苑","芳苑","芳苑","芳苑"
"大城","大城","Dacheng","大城","大城","大城","大城","大城"
"竹塘","竹塘","Zhutang","竹塘","竹塘","竹塘","竹塘","竹塘"
"溪州","溪州","Xizhou","渓州","溪州","溪州","溪州","溪洲"
"埔里","埔里","Puli","埔里","埔里","埔里","埔里","埔里"
"草屯","草屯","Caotun","草屯","草屯","草屯","草屯","草屯"
